сих сей
ученье учение
легко легко
бою бой
заседании заседание
госкомиссии госкомиссия
надежность надёжность
поиска поиск
приземления приземление
меньше маленький
зенитов зенит
востоков восток
недостаточной недостаточный
отработки отработка
радиосистем радиосистема
серии серия
встреча встреча
слева слева
направо направо
аэропорту аэропорт
перми пермь
защищал защищать
свое свой
детище детище
наверное наверное
расти расти
считать считать
корабле корабль
пять пять
станций станция
стало стать
система система
стала стать
надежной надёжный
одна один
станция станция
надежнее надёжный
хмуро хмуро
забыл забыть
установлены установить
те тот
самые самый
станции станция
востоке восток
работают работать
худших плохой
госкомиссия госкомиссия
предложила предложить
следующий следующий
состав состав
экипажей экипаж
дублер дублёр
второй второй
пилот пилот
председателя председатель
совета совет
министров министр
оборонным оборонный
отраслям отрасль
промышленности промышленность
леонид леонид
смирнов смирнов
утвердил утвердить
кандидатуры кандидатура
посетил посетить
завод завод
научно научно
производственное производственный
предприятие предприятие
звезда звезда
имени имя
г г
северина северин
посмотрел посмотреть
окончательную окончательный
сборку сборка
шлюзового шлюзовый
отсека отсек
увидел увидеть
понравилось понравиться
впечатление впечатление
технологии технология
сборки сборка
неважное неважный
толпой толпа
необходимого необходимый
строгого строгий
контроля контроль
каждой каждый
операцией операция
отметкой отметка
ведомости ведомость
выполнении выполнение
попросил попросить
генерала генерал
холодкова холодкова
завтра завтра
содействии содействие
военпредов военпред
проверили проверить
технологию технология
работ работа
аппаратуре аппаратура
год год
готовили готовить
проведены провести
тысячи тысяча
экспериментов эксперимент
земных земной
проверить проверить
проверяться проверяться
самом сам
космическом космический
полете полёт
могут мочь
неожиданности неожиданность
состоялся состояться
космоса космос
поначалу поначалу
проходил проходить
штатно штатный
третьем третий
возник возникнуть
сбой сбой
автоматического автоматический
подрыва подрыв
объекта объект
апо апо
уничтожила уничтожить
обломков обломок
падали падать
сгорали сгорать
плотных плотный
слоях слой
атмосферы атмосфера
обречены обречь
погиб погибнуть
виноват виноватый
главной главный
трагедии трагедия
советской советский
успел успеть
гибнет гибнуть
погибшим погибший
стоит стоить
катастрофой катастрофа
отмечал отмечать
необходимо необходимо
выяснить выяснить
откуда откуда
поступила поступить
команда команда
спуск спуск
сформировалась сформироваться
неисправностей неисправность
борту борт
борт борт
принял принять
претензии претензия
отпадут отпасть
виновником виновник
происшествия происшествие
окажется оказаться
земля земля
экипажем экипаж
противном противный
отменить отменить
аварийная аварийный
комиссия комиссия
руководством руководство
керима керим
керимова керимов
пришла прийти
две два
наземные наземный
слежения слежение
одновременно одновременно
дали дать
сбросить сбросить
давление давление
воздушном воздушный
шлюзе шлюз
вызвав вызвать
автоматики автоматика
нужно нужно
сажать сажать
данная дать
траектория траектория
спуска спуск
предполагала предполагать
посадку посадка
незапланированном незапланированный
месте место
сработала сработать
самым самый
реабилитирован реабилитировать
продолжилась продолжиться
восторге восторг
однако однако
возникло возникнуть
опасение опасение
кольцо кольцо
основания основание
выступало выступать
поверхностью поверхность
миллиметров миллиметр
спуске спуск
вызвать вызвать
закрутку закрутка
затруднив затруднить
раскрытие раскрытие
парашютов парашют
скорости скорость
вращения вращение
около около
оборотов оборот
секунду секунда
привести привести
байконуре байконур
заместителя заместитель
государственного государственный
комитета комитет
оборонной оборонный
технике техника
майора майор
тюлина тюлина
посвященном посвятить
составу состав
собравшимся собраться
уровню уровень
состоянию состояние
здоровья здоровье
общему общий
развитию развитие
первом первый
идет идти
замыкает замыкать
четверку четвёрка
импровизированной импровизированный
пресс пресс
конференции конференция
пермь пермь
разбивать разбивать
пару пара
учитывая учитывать
шести шесть
месяцев месяц
тренируются тренироваться
вместе вместе
вечером вечером
замкнутый замкнутый
малообщительный малообщительный
вяловатый вяловатый
имеет иметь
средние средний
способности способность
поздно поздно
ставить ставить
вопрос вопрос
замене замена
данному дать
большим больший
уважением уважение
относился относиться
своему свой
старшему старший
возрасту возраст
званию звание
участнику участник
японией япония
верил верить
стрессоустойчивость стрессоустойчивость
своей свой
книге книга
выхожу выходить
яркий яркий
эпизод эпизод
службы служба
морским морской
летчиком лётчик
дальнем дальний
летел лететь
морем море
самолете самолёт
остановился остановиться
двигатель двигатель
строя строй
бензонасос бензонасос
одно один
ручной ручной
насос насос
качать качать
бензин бензин
управлять управлять
самолетом самолёт
берега берег
километров километр
пятьсот пятьсот
целый целый
месяц месяц
иванович иванович
мог мочь
поднять поднять
правую правый
руку рука
болели болеть
мышцы мышца
серьезно серьёзно
беспокоил беспокоить
срыв срыв
задания задание
беляевым беляев
испытаниях испытание
этому этот
поводу повод
серьезный серьёзный
разговор разговор
основным основный
итогам итог
беседы беседа
рассказал рассказать
инциденте инцидент
следующее следующий
начал начать
задыхаться задыхаться
непоступления непоступление
проявил проявить
блестящую блестящий
выдержку выдержка
обнаружил обнаружить
неисправность неисправность
устранил устранить
неисправности неисправность
системы система
подачи подача
виновна виновный
группа группа
товарищей товарищ
завода завод
выдал выдать
инцидент инцидент
исчерпан исчерпать
сняты снять
разразился разразиться
большой большой
скандал скандал
королева королева
дошли дойти
слова слово
заявил заявить
дают давать
тренироваться тренироваться
вынужден вынудить
сообщить сообщить
полностью полностью
вскипел вскипеть
нужны нужный
такие такой
полигоне полигон
заявляют заявлять
неподготовленности неподготовленность
пытаются пытаться
мешать мешать
космонавт космонавт
побывавший побывать
открытом открытый
поговорил поговорить
хруновым хруновое
принес принести
королеву королева
извинения извинение
провел провести
контрольное контрольный
занятие занятие
космонавтами космонавт
разбирал разбирать
мельчайшие мелкий
заключение заключение
хочу хотеть
предупредить предупредить
вашем ваш
здоровыми здоровый
лихое лихой
необдуманное необдуманный
геройство геройство
желательно желательно
выполнили выполнить
программу программа
сохранять сохранять
